
1.性别：
选项,小计,百分比%
男,49,70
女,21,30
有效填写量,70

2.所在年级：
选项,小计,百分比%
大一,38,54.3
大二,13,18.6
大三,8,11.4
大四,7,10
硕士生,2,2.9
博士生,2,2.9
有效填写量,70

5.你脑中的“社会公德”是什么概念？
选项,小计,百分比%
文明礼貌，助人为乐等,9,12.9
心里上对社会的热爱从而希望它变得更好，继而用行动支持,4,5.7
二者都有,57,81.4
有效填写量,70

6.当你在公交车上看到孕妇或者老人，会给他们让座吗？
选项,小计,百分比%
会不加思考给予让座,40,57.1
心里想但由于某些原因最终还是没有让座,4,5.7
没想过是否让座的问题,0,0
坚决不让,0,0
视情况而定,26,37.1
有效填写量,70

7.当你捡到别人的东西你会？
选项,小计,百分比%
递交广播站,27,38.6
归自己所有,1,1.4
放回原地,12,17.1
视情况而定,30,42.9
有效填写量,70

8.当你在看见陌生人需要帮助时你会？
选项,小计,百分比%
主动上去帮忙,37,52.9
心里想但由于某些原因最终还是没有帮忙,25,35.7
围观,5,7.1
绕开走,3,4.3
有效填写量,70

9.当你在路上遇见老师、领导时，你会？
选项,小计,百分比%
主动上前问好,34,48.6
想要问好，但出于内向而没有问好,12,17.1
不想上前问好,2,2.9
视情况而定,22,31.4
有效填写量,70

10.你认为你在社会公德方面哪方面欠缺？
选项,小计,百分比%
文明礼貌,18,25.7
助人为乐,32,45.7
爱护公物,17,24.3
遵纪守法,11,15.7
保护环境,21,30
其他____,13,18.6
有效填写量,70

11.当你遇到学校及社会举行的爱心募捐活动时，你会？
选项,小计,百分比%
主动捐款,27,38.6
别人都捐了，我也象征性捐一点,12,17.1
我拿的是父母的血汗钱，坚决不捐,2,2.9
视情况而定,29,41.4
有效填写量,70

12.对于上课占位现象有什么看法？
选项,小计,百分比%
无所谓,32,45.7
应该，有助于自己的学习,16,22.9
不应该，是不道德的行为,17,24.3
学校应该阻止这种行为,5,7.1
有效填写量,70

13.你对使用一次性餐具的态度？
选项,小计,百分比%
经常使用，觉得很卫生,4,5.7
偶尔使用，没想那么多,34,48.6
尽量不用,30,42.9
从不使用，会破坏环境,2,2.9
有效填写量,70

14.你在公共场所时有人插队你会？
选项,小计,百分比%
视而不见,3,4.3
心里埋怨,46,65.7
立即制止,21,30
有效填写量,70

15.挖掘机学校哪家强？
选项,小计,百分比%
万通,0,0
蓝翔,63,90
新东方,5,7.1
北大青鸟,2,2.9
有效填写量,70

16.乘坐公交车时，您曾经看到大学生做出以下哪些行为？
选项,小计,百分比%
上车争抢座位,33,47.1
逃票,3,4.3
抽烟,25,35.7
从车内向车外扔杂物,27,38.6
大声喧哗,40,57.1
破坏车内公物,5,7.1
不给老幼病残孕让座,31,44.3
有效填写量,70

17.你认为目前存在以上现象的原因是？
选项,小计,百分比%
管理制度不完善,23,32.9
舆论监督不够,8,11.4
社会公德意识差,53,75.7
忽视思想教育的结果,32,45.7
社会风气不好,28,40
其他____,4,5.7
有效填写量,70

18.你在买东西时售货员多找了钱你会主动退还么？
选项,小计,百分比%
会,60,85.7
不会,4,5.7
视情况而定,6,8.6
有效填写量,70

19.对于随地扔垃圾的行为你的态度是？
选项,小计,百分比%
鄙视，是不道德的行为,37,52.9
无所谓，自己有时也会,2,2.9
管不了别人，只能自己尽量不扔,31,44.3
有效填写量,70

20.你的遵守交通规则的意识程度如何？
选项,小计,百分比%
很强,42,60
一般,27,38.6
很弱,1,1.4
有效填写量,70

21.接听电话时，你是否会用礼貌用语？
选项,小计,百分比%
经常,43,61.4
有时,7,10
很少,1,1.4
看情况，因人而异,19,27.1
有效填写量,70

22.你认为是什么使一些人丧失了社会公德心？
选项,小计,百分比%
自私自利,17,24.3
事不关己，认为与自己无关,45,64.3
憎恶这个社会,1,1.4
跟随他人行为,7,10
有效填写量,70

23.你觉得该用什么方式提高社会公德？
选项,小计,百分比%
加大社会公德宣传，实行公德考核,18,25.7
严查严惩违背社会公德的人,7,10
从小灌输,44,62.9
其他____,1,1.4
有效填写量,70

24.你认为当代大学生的社会公德状况怎样？
选项,小计,百分比%
高,13,18.6
一般,50,71.4
低,7,10
有效填写量,70

25.为了便于调查回访，请留下你的邮箱地址
编号,文本答案,提交时间
1,"1908167883@qq.com",2017-11-14 13:08:48
2,"895850113@qq.com",2017-11-14 12:33:41
3,"1640793900@qq.com",2017-11-14 09:44:11
4,"2421742036@qq.com",2017-11-14 09:31:19
5,"1938422366@qq.com",2017-11-14 09:31:11
6,"1045408181@qq.com",2017-11-14 09:31:11
7,"2220911838@qq.com",2017-11-14 09:15:32
8,"1350797415@qq.co m",2017-11-14 09:00:37
9,"3142107572@qq.com",2017-11-14 08:51:07
10,"1902136849@qq.com",2017-11-14 08:44:58
备注：本题回收31条，更多详情请查看原始数据

