第1页

1.性别：
选项,小计,百分比%
男,38,84.4
女,7,15.6
有效填写量,45

2.所在年级：
选项,小计,百分比%
大一,18,40
大二,10,22.2
大三,6,13.3
大四,7,15.6
硕士生,2,4.4
博士生,2,4.4
有效填写量,45

5.你脑中的“社会公德”是什么概念？
选项,小计,百分比%
文明礼貌，助人为乐等,7,15.6
心里上对社会的热爱从而希望它变得更好，继而用行动支持,3,6.7
二者都有,35,77.8
有效填写量,45

6.当你在公交车上看到孕妇或者老人，会给他们让座吗？
选项,小计,百分比%
会不加思考给予让座,22,48.9
心里想但由于某些原因最终还是没有让座,3,6.7
没想过是否让座的问题,0,0
坚决不让,0,0
视情况而定,20,44.4
有效填写量,45

7.当你捡到别人的东西你会？
选项,小计,百分比%
递交广播站,18,40
归自己所有,0,0
放回原地,9,20
视情况而定,18,40
有效填写量,45

8.当你在看见陌生人需要帮助时你会？
选项,小计,百分比%
主动上去帮忙,19,42.2
心里想但由于某些原因最终还是没有帮忙,19,42.2
围观,5,11.1
绕开走,2,4.4
有效填写量,45

9.当你在路上遇见老师、领导时，你会？
选项,小计,百分比%
主动上前问好,17,37.8
想要问好，但出于内向而没有问好,8,17.8
不想上前问好,2,4.4
视情况而定,18,40
有效填写量,45

10.你认为你在社会公德方面哪方面欠缺？
选项,小计,百分比%
文明礼貌,10,22.2
助人为乐,23,51.1
爱护公物,12,26.7
遵纪守法,6,13.3
保护环境,12,26.7
其他____,7,15.6
有效填写量,45

11.当你遇到学校及社会举行的爱心募捐活动时，你会？
选项,小计,百分比%
主动捐款,9,20
别人都捐了，我也象征性捐一点,10,22.2
我拿的是父母的血汗钱，坚决不捐,2,4.4
视情况而定,24,53.3
有效填写量,45

12.对于上课占位现象有什么看法？
选项,小计,百分比%
无所谓,21,46.7
应该，有助于自己的学习,9,20
不应该，是不道德的行为,10,22.2
学校应该阻止这种行为,5,11.1
有效填写量,45

13.你对使用一次性餐具的态度？
选项,小计,百分比%
经常使用，觉得很卫生,2,4.4
偶尔使用，没想那么多,21,46.7
尽量不用,21,46.7
从不使用，会破坏环境,1,2.2
有效填写量,45

14.你在公共场所时有人插队你会？
选项,小计,百分比%
视而不见,2,4.4
心里埋怨,30,66.7
立即制止,13,28.9
有效填写量,45

15.挖掘机学校哪家强？
选项,小计,百分比%
万通,0,0
蓝翔,42,93.3
新东方,1,2.2
北大青鸟,2,4.4
有效填写量,45

16.乘坐公交车时，您曾经看到大学生做出以下哪些行为？
选项,小计,百分比%
上车争抢座位,17,37.8
逃票,1,2.2
抽烟,15,33.3
从车内向车外扔杂物,16,35.6
大声喧哗,22,48.9
破坏车内公物,3,6.7
不给老幼病残孕让座,22,48.9
有效填写量,45

17.你认为目前存在以上现象的原因是？
选项,小计,百分比%
管理制度不完善,10,22.2
舆论监督不够,5,11.1
社会公德意识差,32,71.1
忽视思想教育的结果,22,48.9
社会风气不好,17,37.8
其他____,4,8.9
有效填写量,45

18.你在买东西时售货员多找了钱你会主动退还么？
选项,小计,百分比%
会,38,84.4
不会,3,6.7
视情况而定,4,8.9
有效填写量,45

19.对于随地扔垃圾的行为你的态度是？
选项,小计,百分比%
鄙视，是不道德的行为,19,42.2
无所谓，自己有时也会,2,4.4
管不了别人，只能自己尽量不扔,24,53.3
有效填写量,45

20.你的遵守交通规则的意识程度如何？
选项,小计,百分比%
很强,28,62.2
一般,16,35.6
很弱,1,2.2
有效填写量,45

21.接听电话时，你是否会用礼貌用语？
选项,小计,百分比%
经常,28,62.2
有时,4,8.9
很少,0,0
看情况，因人而异,13,28.9
有效填写量,45

22.你认为是什么使一些人丧失了社会公德心？
选项,小计,百分比%
自私自利,14,31.1
事不关己，认为与自己无关,25,55.6
憎恶这个社会,0,0
跟随他人行为,6,13.3
有效填写量,45

23.你觉得该用什么方式提高社会公德？
选项,小计,百分比%
加大社会公德宣传，实行公德考核,7,15.6
严查严惩违背社会公德的人,6,13.3
从小灌输,31,68.9
其他____,1,2.2
有效填写量,45

24.你认为当代大学生的社会公德状况怎样？
选项,小计,百分比%
高,9,20
一般,32,71.1
低,4,8.9
有效填写量,45

25.为了便于调查回访，请留下你的邮箱地址
编号,文本答案,提交时间
1,"1091849129@qq.com",2017-11-13 12:18:55
2,"1653058682@qq.com",2017-11-13 11:19:40
3,"bj@wangkai88.com",2017-11-11 11:34:42
4,"wanxaio@qq.com",2017-11-11 10:31:18
5,"769487266@qq.com",2017-11-10 11:42:49
6,"1815846045@qq.com",2017-11-10 11:18:31
7,"924498374@qq.com",2017-11-10 10:29:25
8,"907788342@163.com",2017-11-10 08:11:26
9,"2841512655@qq.com",2017-11-10 06:15:46
10,"邮箱不给_假装萌新爽粉的guna@ywwuyi.com",2017-11-10 01:41:23
备注：本题回收20条，更多详情请导出原始数据查看

